# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416380690;0.00;3267.80;264432.32;0.00;340184.73;0.00;0.00;0.00;0.00
axle;60;1416380750;0.00;341.83;247109.24;0.00;190658.59;0.00;0.00;0.00;0.00
axle;60;1416380810;1.14;374.95;72095.59;0.00;71553.10;0.00;0.00;0.00;0.00
axle;60;1416380870;0.00;19.42;4439.91;0.00;26464.02;0.00;0.00;0.00;0.00
axle;60;1416380930;0.00;22.53;4489.47;0.00;30681.14;0.00;0.00;0.00;0.00
axle;60;1416380990;0.00;54.75;38418.24;0.00;39472.22;0.00;0.00;0.00;0.00
axle;60;1416381050;0.00;47.22;316.09;0.00;36663.54;0.00;0.00;0.00;0.00
axle;60;1416381110;0.00;18.99;219.72;0.00;3987.06;0.00;0.00;0.00;0.00
axle;60;1416381170;0.00;32.72;394.16;0.00;29069.74;0.00;0.00;0.00;0.00
axle;60;1416381230;0.00;30.35;10334.70;0.00;14261.06;0.00;0.00;0.00;0.00
axle;60;1416381290;0.00;78.09;33971.45;0.00;16142.25;0.00;0.00;0.00;0.00
axle;60;1416381350;0.13;46.75;343.31;0.00;33764.22;0.00;0.00;0.00;0.00
