ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1416382027.21904,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416382027.21904,pg_catalog,pg_db_role_setting,0,0,71232,0,0,0,0,0,0,0,0,0,221,71011,0,0,0,0
1416382027.21904,pg_catalog,pg_rowsecurity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416382027.21904,pg_catalog,pg_description,0,0,2296,0,0,0,0,0,0,0,0,0,618,4498,0,0,0,0
1416382027.21904,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416382027.21904,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416382027.21904,public,customer,14,15000000,81,1473470,1500000,0,0,0,1500000,0,196760,704134,4447,232,,,,
1416382027.21904,pg_catalog,pg_class,5204,1110380,415948,378749,896,296,896,286,337,5,5391,433480,3830,870172,,,,
1416382027.21904,public,partsupp,7,40000000,56476,2370904,8000000,0,0,0,8000000,0,858297,3068403,38792,137496,,,,
1416382027.21904,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416382027.21904,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416382027.21904,pg_catalog,pg_operator,0,0,131912,695779,0,0,0,0,0,0,3736,480883,3257,285793,,,,
1416382027.21904,pg_toast,pg_toast_12345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416382027.21904,pg_catalog,pg_attribute,1408,9600,343742,777072,3200,80,3200,80,2514,22,13209,380322,3147,717786,,,,
1416382027.21904,pg_catalog,pg_tablespace,0,0,12135,12135,0,0,0,0,0,0,355,11780,733,23583,,,,
1416382027.21904,pg_catalog,pg_statistic,0,0,95987,92660,673,2051,676,1930,464,71,9670,89090,1106,204901,23265,94097,985,100693
1416382027.21904,public,part,10,16000000,78,2367234,2000000,0,0,0,2000000,0,199525,409568,7922,749,,,,
1416382027.21904,pg_catalog,pg_aggregate,0,0,9197,9197,0,0,0,0,0,0,681,8516,1541,14482,,,,
